COD_UF;COD_MUNICIPIO;COD_DISTRITO;COD_SUBDISTRITO;SITUACAO;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;DSC_MODIFICADOR;NOM_COMP_ELEM1;VAL_COMP_ELEM1;NOM_COMP_ELEM2;VAL_COMP_ELEM2;NOM_COMP_ELEM3;VAL_COMP_ELEM3;NOM_COMP_ELEM4;VAL_COMP_ELEM4;NOM_COMP_ELEM5;VAL_COMP_ELEM5;LATITUDE;LONGITUDE;ALTITUDE;DSC_LOCALIDADE;COD_ESPECIE;CEP
31;63102;05;00;2;ESTRADA;;PARA TRINDADE;;SN;;;;;;;;;;;-19.73426166666667;-44.522825;709.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;ESTRADA;;PARA TRINDADE;;SN;;;;;;;;;;;-19.731561666666664;-44.54279666666667;708.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;ESTRADA;;PARA TRINDADE;;SN;;;;;;;;;;;-19.758729972222223;-44.545683305555556;733.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;ESTRADA;;PARA TRINDADE;;SN;;;;;;;;;;;-19.764823305555556;-44.549025;743.0;MANGABEIRAS;3;35694000
31;63102;05;00;2;ESTRADA;;PARA TRINDADE;;SN;;;;;;;;;;;-19.731158305555553;-44.51933997222222;705.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;ESTRADA;;PARA VOLTA DO BREJO;;SN;;;;;;;;;;;-19.757145;-44.54717997222222;758.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;FAZENDA;;AGUA ESPALHADA;;SN;;;;;;;;;;;-19.71445333333333;-44.51862166666667;684.0;AGUA ESPALHADA;3;35694000
31;63102;05;00;2;FAZENDA;;ALEIXO VULGO ZINHO DO AGUSTIM;;SN;;;;;;;;;;;-19.734844972222223;-44.540105;744.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;FAZENDA;;CALUNGA;;SN;;;;;;;;;;;-19.715686666666667;-44.52186830555556;676.0;AGUA ESPALHADA;3;35694000
31;63102;05;00;2;FAZENDA;;CATRAVO;;SN;;;;;;;;;;;-19.72541497222222;-44.51735497222222;692.0;PONTE ALTA;3;35694000
31;63102;05;00;2;FAZENDA;;CHICO ROCHA;;SN;;;;;;;;;;;-19.738079972222224;-44.53288830555555;730.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;FAZENDA;;CORREGO DO TITO VULGO ZE DO VO;;SN;;;;;;;;;;;-19.741076638888888;-44.51773166666666;741.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;FAZENDA;;DA SERRA;;SN;;;;;;;;;;;-19.730856638888888;-44.554966638888885;749.0;PONTE ALTA;3;35694000
31;63102;05;00;2;FAZENDA;;DE SILVIO LADISLAU GOMES;;SN;;;;;;;;;;;-19.743705000000002;-44.58817666666667;763.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;FAZENDA;;DO BARREIRINHO;;SN;;;;;;;;;;;-19.73918;-44.574358333333336;757.0;PONTE ALTA;3;35694000
